,n_pieces,sig_melodic_volatility,sig_melodic_volatility,sig_melodic_volatility,sig_motif_repetition,sig_motif_repetition,sig_motif_repetition,sig_consonance_balance,sig_consonance_balance,sig_consonance_balance,sig_structural_complexity,sig_structural_complexity,sig_structural_complexity
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
era,,,,,,,,,,,,,
Baroque,132,-1.34061007664334,0.286487267842454,132,1.260635800051611,0.3880053380002493,132,-1.8365168726197483,1.2513312837850206,132,0.02729640983597795,0.4187390018762301,132
Classical,135,-0.2363663687397214,0.5774635375361288,135,-0.21579862797262106,0.785138710225809,135,-0.15022901808883013,1.2720148858839804,135,0.19407264065762098,0.24299221838632745,135
Other,124,-0.06078380530131693,0.9785795254706173,124,0.20449659715283788,1.0354928770513583,124,-0.020262638902808612,1.9147134783450617,124,-0.08630997277576433,0.47622613935472685,124
Romantic,365,0.4726448334221179,0.7451846320735394,365,-0.4384642372141732,0.7954926227976852,365,0.7563819479824999,1.8278080730701514,365,0.006565048901529285,0.464212586317104,365
Late Romantic,79,0.5555926272794187,0.6135964828276452,79,-0.03277521891502605,1.0060255724384528,79,-0.13754049571983482,2.7559352516741367,79,-0.2721106178733113,0.5592993085952697,79
